step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_min,vrba_multiplier_max,vrba_temperature,vrba_local_updates,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.03192203499997959,0.3899060219736881,0.005519052270157972,0.41083328565460303,0.004788587604867463,nan,1.0358841855060021,0.923010654157917,1.0411051603360808,nan,0.1539786916841659,0.1539786916841659,1,0.0033635503271913503,0.0006643271486505287,0.016623410552698815,1.0,1.0,0.0013020833333333333,192,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,192,0,384,768,nan,nan
10,0.09385021599996435,0.30336485122714224,0.0025482568776701853,0.2946998465400406,0.04494775831435813,nan,0.9963096344329561,0.843895278545746,1.159795087021298,nan,0.23737985337043443,0.3913585450546003,2,0.0411701260018905,0.005027187283924643,0.1992895339734905,0.766674639016112,0.9758883496200239,0.0025961035774437462,1920,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,384,768,768,3840,nan,nan
20,0.21808583500001077,0.27232043191919997,0.004120023542905144,0.28727586385516385,0.037055074248733985,nan,0.9899805684129525,0.7743571974823825,1.235662234104665,nan,0.151734294166734,0.5430928392213343,3,0.04290671640296464,0.008049170527220395,0.4715844589632594,0.7650307457044668,0.9748929727255016,0.0023687648428535883,3840,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,576,1536,1152,7104,nan,nan
30,0.33672688499996184,0.24124053379228083,0.0015405253937095435,0.30232805507630756,0.016997265864547906,nan,0.9841283179348073,0.7200770472985125,1.2957946347666802,nan,0.12026480132403039,0.6633576405453647,4,0.012250319829898992,0.0012893868005422822,0.32335082668752585,0.886216943902863,0.9889871009042219,0.0020821904721234717,5760,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,768,2304,1536,10368,nan,nan
40,1.1872500800000125,0.21156411747172416,0.0022124607743623315,0.2764932644237023,0.018300284664496173,nan,0.997834158775882,0.6689424470690842,1.3332233941550338,nan,0.10226920045885657,0.7656268410042213,5,0.014103791437110855,0.00191477673469919,0.12660102859824524,0.8904719120416672,0.9895081721588467,0.0021355024868204286,7680,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,960,3072,1920,13632,0.866042834248846,1.101541413064047
50,1.267291785999987,0.18378075087978957,0.003954075067607616,0.25591858920657395,0.015581842921998003,nan,1.0439433691461983,0.6206872464135178,1.3353693844402839,nan,0.09651040131113287,0.8621372423153542,6,0.011589412764183259,0.003335227792909892,0.014045426472974031,0.9068783222405346,0.9912532892976288,0.0020569349283580587,9600,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,1152,3840,2304,16896,0.866042834248846,1.101541413064047
60,1.3672158869999294,0.15909856615060494,0.004903058470450822,0.23688071138200953,0.013048468531375512,nan,1.1053690222796577,0.5761316728512795,1.3184993048690627,nan,0.12285130626691876,0.9849885485822729,7,0.013389241942410018,0.005735294122983473,0.12762771002881312,0.8429849830792143,0.9857712711042452,0.002567203497895507,11520,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,1344,4608,2688,20160,0.866042834248846,1.101541413064047
70,1.4361979409998185,0.13885252503384654,0.006968075072719244,0.21863449803816937,0.01078545306839004,nan,1.1831086010093625,0.5341017495885023,1.282789649402135,nan,0.15547915745940988,1.1404677060416828,8,0.01802417333556112,0.009940683544214585,0.16453684660064674,0.7305867135175204,0.9720553039781347,0.003161481298254832,13440,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,1536,5376,3072,23424,0.866042834248846,1.101541413064047
80,1.5723436480000146,0.12603172184430617,0.01193147834295472,0.20390657489871888,0.008197488118155984,nan,1.2780152506012228,0.4939329217009568,1.2280518276978203,nan,0.18981329918372036,1.330281005225403,9,0.04121835076656935,0.023873956783728424,0.3889822521218828,0.7178066167219779,0.9709942447859788,0.003008924219248847,15360,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,1728,6144,3456,26688,0.7446681823372039,1.0555795653470346
90,1.6374336649998895,0.11700323840144833,0.014946001256835985,0.19744630009960046,0.005232668948782655,nan,1.377762655988798,0.4574210710730904,1.1648162729381113,nan,0.19949481077515074,1.5297758160005537,10,0.051625971119364594,0.029827100095805803,0.42253958808874104,0.7193982944002945,0.971855626907161,0.0030920923423808696,17280,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,1920,6912,3840,29952,0.7446681823372039,1.0555795653470346
100,1.712099015999911,0.11234325390200851,0.016843170184387874,0.19762491934956344,0.0031832672526937228,nan,1.4765624117258551,0.4249282601548833,1.0985093281192615,nan,0.19759951147411392,1.7273753274746677,11,0.0629881646712471,0.03365730949226198,0.47507999529395856,0.7279111300778495,0.9733992708307581,0.003315833195839358,19200,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,2112,7680,4224,33216,0.7446681823372039,1.0555795653470346
110,1.8063175519998822,0.10491279711604769,0.014263241016949318,0.2001489230386883,0.0031448804920637067,nan,1.5582074613960997,0.3967098456519821,1.0450826929519181,nan,0.1632900993404891,1.8906654268151568,12,0.05689686337356078,0.029597191375822986,0.4500799832037759,0.7500155385160504,0.9759073456177109,0.002985335499770185,21120,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,2304,8448,4608,36480,0.7446681823372039,1.0555795653470346
120,1.8737091389998568,0.10031560486547093,0.013458284972208112,0.20147222186157884,0.0036074816684246434,nan,1.6247176631204545,0.3714071828304316,1.003875154049114,nan,0.13302040344870947,2.023685830263866,13,0.052791954462274415,0.0296492365451266,0.46738681618825123,0.7127316340254186,0.9717846197502363,0.0034977172317464346,23040,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0,0,2496,9216,4992,39744,0.7393877714149296,1.0418254434894139
