step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.03637697399994977,0.792995774866189,0.1522501422531126,0.5884638213681257,0.05228181124495068,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04769397729208348,0.004227132920143768,0.0015829432302391134,1.0,1.0,0.0013020833333333333,192,0,0,384,576,nan,nan
10,0.11952421599994523,0.45158956823877255,0.010766284861718309,0.3498092823436472,0.09101400103340701,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03759654433511414,0.009259678776647897,0.17004269695223317,0.7889081605849078,0.978820436086207,0.002496011307132086,1920,0,768,768,3456,nan,nan
20,0.18744539299996177,0.4460283762645774,0.010344518893535201,0.336522801855735,0.09916105551530717,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04833631573938705,0.010261951770659167,0.27245467229123393,0.7939686515311086,0.9795479453475744,0.0023918939063489976,3840,0,1536,1152,6528,nan,nan
30,0.26923331400007555,0.44223791409831165,0.0036139356445835974,0.4013909528734204,0.03723302558030761,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03734828156179021,0.0042345264743524815,0.18500411193859823,0.7223970423195017,0.9688787068611662,0.0029343751324241336,5760,0,2304,1536,9600,nan,nan
40,0.9465341229999922,0.43192456512830346,0.0040342308462393015,0.3668934079692614,0.06099692631280272,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.02944087117884664,0.007581231234914735,0.08805217183687664,0.8512851188608517,0.9854898025699547,0.0023312356593736968,7680,0,3072,1920,12672,0.8713656471048363,0.9590448876548436
50,1.0284029760000521,0.4311970621825302,0.007062239141672824,0.35421356489135825,0.06992125814949915,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03794007561184545,0.0090030632115955,0.13900952102812192,0.809427206077641,0.9809150680476739,0.0024021694275792164,9600,0,3840,2304,15744,0.8713656471048363,0.9590448876548436
60,1.1958444609999788,0.42751973611304583,0.005214460455544072,0.36923646595991694,0.0530688096975848,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03512247774345138,0.0075505560841850625,0.3094778431717642,0.8363228225754021,0.9841683000498552,0.002479191353481533,11520,0,4608,2688,18816,0.8713656471048363,0.9590448876548436
70,1.2715055870000924,0.42391801666598594,0.0071392432521775765,0.36036002961605285,0.056418743797755494,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03368123030018722,0.008444195949142159,0.1441893861818313,0.860594944842997,0.9865250122232032,0.00214588538890109,13440,0,5376,3072,21888,0.8713656471048363,0.9590448876548436
80,1.3782226739999714,0.42011263712149266,0.008840692816174141,0.35399390448488366,0.057278039820434834,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.033723827472586204,0.008527823222356061,0.24063759169211574,0.8841162864118197,0.9888507649796082,0.0020304143489189193,15360,0,6144,3456,24960,0.8730320453586161,0.9727385617854617
90,1.4521913160001532,0.4161217631984002,0.010516311589157635,0.3540003556171274,0.05160509599211519,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03753954264680112,0.008344326047304895,0.336479091003685,0.8711827915637841,0.9872798580116362,0.002048326874007671,17280,0,6912,3840,28032,0.8730320453586161,0.9727385617854617
100,1.5197050240001317,0.4109554423216902,0.013088668495328177,0.34578740409200626,0.05207936973435573,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.038496845999331286,0.007802283140961408,0.2918848407141014,0.8760188492018471,0.9878700742527986,0.0020282154092905007,19200,0,7680,4224,31104,0.8730320453586161,0.9727385617854617
110,1.5841261850000592,0.40398740988644044,0.01505567647723075,0.3398668676685517,0.049064865740658,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.035516913256864985,0.007159718805557583,0.259382730068314,0.8515596685187458,0.9853857293412784,0.0021614812188426704,21120,0,8448,4608,34176,0.8730320453586161,0.9727385617854617
120,1.6800140709999596,0.3925738252842448,0.01578428551487565,0.3237767084244311,0.05301283134493802,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.036918839679976764,0.0073519709198493,0.2623556027217623,0.8995149588359085,0.9902036213899652,0.0018081330730379877,23040,0,9216,4992,37248,0.8582552900259475,1.0262564855171408
